,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
902,POLICE OFFICER,POLICE,F,Salary,,84054.0,
903,POLICE ADMINISTRATIVE CLERK,POLICE,F,Salary,,43428.0,
904,SERGEANT,POLICE,F,Salary,,111474.0,
905,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
906,CLERK IV,PROCUREMENT,F,Salary,,73104.0,
907,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
908,FOREMAN OF MOTOR TRUCK DRIVERS,AVIATION,F,Hourly,40.0,,38.45
909,POLICE OFFICER,POLICE,F,Salary,,87006.0,
910,GENERAL MANAGER OF AIRPORT OPERATIONS,AVIATION,F,Salary,,117984.0,
911,SENIOR EMERGENCY MANAGEMENT COORD,HEALTH,F,Salary,,75816.0,
912,PARAMEDIC I/C,FIRE,F,Salary,,91080.0,
913,POLICE OFFICER,POLICE,F,Salary,,87006.0,
914,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
915,AUDITOR II,FINANCE,F,Salary,,66204.0,
916,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
917,POLICE OFFICER,POLICE,F,Salary,,90024.0,
918,SUPERVISING PARALEGAL,LAW,F,Salary,,96096.0,
919,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,F,Salary,,105804.0,
920,POLICE OFFICER,POLICE,F,Salary,,68616.0,
921,PARAMEDIC,FIRE,F,Salary,,90024.0,
922,POLICE OFFICER,POLICE,F,Salary,,90024.0,
923,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,F,Salary,,105900.0,
924,POLICE OFFICER,POLICE,F,Salary,,48078.0,
925,AVIATION SECURITY OFFICER - HOURLY,AVIATION,P,Hourly,20.0,,22.35
926,POLICE OFFICER,POLICE,F,Salary,,87006.0,
927,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,F,Salary,,60228.0,
928,POLICE OFFICER,POLICE,F,Salary,,48078.0,
929,POLICE OFFICER,POLICE,F,Salary,,72510.0,
930,GLAZIER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,43.85
931,POLICE OFFICER,POLICE,F,Salary,,84054.0,
932,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
933,BUSINESS COMPLIANCE INVESTIGATOR,BUSINESS AFFAIRS,F,Salary,,105948.0,
934,ASST CHIEF OPERATING ENGINEER,AVIATION,F,Hourly,40.0,,55.78
935,OPERATING ENGINEER-GROUP A,AVIATION,F,Hourly,40.0,,50.71
936,POLICE OFFICER,POLICE,F,Salary,,87006.0,
937,POLICE OFFICER,POLICE,F,Salary,,76266.0,
938,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
939,GENERAL LABORER - AVIATION,AVIATION,F,Hourly,40.0,,21.38
940,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
941,SIGN PAINTER,AVIATION,F,Hourly,40.0,,39.06
942,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
943,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,91080.0,
944,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,91080.0,
945,PARAMEDIC,FIRE,F,Salary,,84054.0,
946,OPERATING ENGINEER-GROUP C,AVIATION,F,Hourly,40.0,,48.17
947,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
948,SERGEANT,POLICE,F,Salary,,107988.0,
949,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
950,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
951,POLICE OFFICER,POLICE,F,Salary,,72510.0,
952,POLICE OFFICER,POLICE,F,Salary,,48078.0,
953,POLICE OFFICER,POLICE,F,Salary,,68616.0,
954,FIREFIGHTER,FIRE,F,Salary,,93666.0,
955,COMPLAINT INTAKE SPECIALIST - IGO,INSPECTOR GEN,F,Salary,,48960.0,
956,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,64392.0,
957,POLICE COMMUNICATIONS OPERATOR I,OEMC,F,Salary,,70644.0,
958,SUPVSR OF PERSONNEL SERVICES,DoIT,F,Salary,,96096.0,
959,PARKING ENFORCEMENT AIDE,FINANCE,F,Salary,,53496.0,
960,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
961,POLICE OFFICER,POLICE,F,Salary,,48078.0,
962,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,P,Hourly,20.0,,16.87
963,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
964,ALDERMANIC AIDE,CITY COUNCIL,P,Hourly,35.0,,12.0
965,POLICE OFFICER,POLICE,F,Salary,,84054.0,
966,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
967,POLICE OFFICER,POLICE,F,Salary,,87006.0,
968,FINANCIAL PLANNING ANALYST - EXCLD,PLANNING AND DEVELOPMENT,F,Salary,,78828.0,
969,POLICE OFFICER,POLICE,F,Salary,,76266.0,
970,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
971,MOTOR TRUCK DRIVER,WATER MGMNT,F,Hourly,40.0,,36.45
972,POLICE OFFICER,POLICE,F,Salary,,84054.0,
973,POLICE OFFICER,POLICE,F,Salary,,48078.0,
974,SERGEANT,POLICE,F,Salary,,101442.0,
975,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
976,ADMINISTRATIVE SERVICES OFFICER II EXCLD,HUMAN RELATIONS,F,Salary,,76164.0,
977,POLICE OFFICER,POLICE,F,Salary,,84054.0,
978,HOISTING ENGINEER,WATER MGMNT,F,Hourly,40.0,,51.1
979,POLICE OFFICER,POLICE,F,Salary,,90024.0,
980,SANITATION CLERK,STREETS & SAN,F,Salary,,73068.0,
981,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
982,AUTOMOTIVE PAINTER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,46.55
983,POLICE OFFICER,POLICE,F,Salary,,93354.0,
984,POLICE OFFICER,POLICE,F,Salary,,76266.0,
985,FINANCIAL ANALYST,AVIATION,F,Salary,,61776.0,
986,POLICE OFFICER,POLICE,F,Salary,,90024.0,
987,POLICE OFFICER,POLICE,F,Salary,,87006.0,
988,ACCOUNTANT III,FINANCE,F,Salary,,96360.0,
989,INVESTIGATOR III - IG,INSPECTOR GEN,F,Salary,,94848.0,
990,POLICE OFFICER,POLICE,F,Salary,,76266.0,
991,POLICE OFFICER,POLICE,F,Salary,,84054.0,
992,POLICE OFFICER,POLICE,F,Salary,,90024.0,
993,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
994,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,91338.0,
995,ALDERMAN,CITY COUNCIL,F,Salary,,114444.0,
996,LIBRARY CLERK,PUBLIC LIBRARY,F,Salary,,31908.0,
997,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
998,HEAD LIBRARY CLERK,PUBLIC LIBRARY,F,Salary,,69828.0,
999,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1000,LIBRARIAN IV,PUBLIC LIBRARY,F,Salary,,105108.0,
1001,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
1002,LIBRARIAN IV,PUBLIC LIBRARY,F,Salary,,105108.0,
1003,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1004,ADMINISTRATIVE ASST II,PUBLIC LIBRARY,F,Salary,,66612.0,
1005,STUDENT INTERN,AVIATION,F,Hourly,35.0,,13.0
1006,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,F,Salary,,57324.0,
1007,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1008,PROGRAM ANALYST,POLICE,F,Salary,,105948.0,
1009,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1010,ASST CORPORATION COUNSEL SENIOR,LAW,F,Salary,,78036.0,
1011,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1012,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1013,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,88296.0,
1014,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1015,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,55260.0,
1016,DETENTION AIDE,POLICE,F,Salary,,50412.0,
1017,ADMINISTRATIVE SERVICES OFFICER II,DISABILITIES,F,Salary,,116280.0,
1018,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1019,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1020,FIREFIGHTER,FIRE,F,Salary,,87006.0,
1021,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1022,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1023,AIRPORT OPERATIONS SUPVSR II,AVIATION,F,Salary,,101148.0,
1024,DEPUTY DIR,POLICE,F,Salary,,132972.0,
1025,EQUIPMENT DISPATCHER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,37.09
1026,MOTOR TRUCK DRIVER,WATER MGMNT,F,Hourly,40.0,,36.45
1027,ELDER PROTECTIVE INVESTIGATOR I,FAMILY & SUPPORT,F,Salary,,79836.0,
1028,TREE TRIMMER,STREETS & SAN,F,Hourly,40.0,,38.86
1029,BRICKLAYER,TRANSPORTN,F,Hourly,40.0,,46.19
1030,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1031,CLERK IV,FINANCE,F,Salary,,43428.0,
1032,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1033,LINEMAN,OEMC,F,Hourly,40.0,,51.9
1034,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1035,FOREMAN OF LINEMEN,TRANSPORTN,F,Hourly,40.0,,56.9
1036,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1037,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
1038,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
1039,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,P,Hourly,20.0,,8.25
1040,LINEMAN,TRANSPORTN,F,Hourly,40.0,,51.9
1041,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1042,PRINCIPAL PROGRAMMER/ANALYST,FIRE,F,Salary,,113652.0,
1043,LIBRARY CLERK,PUBLIC LIBRARY,F,Salary,,55344.0,
1044,CARPENTER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,47.35
1045,CROSSING GUARD,OEMC,P,Hourly,20.0,,19.38
1046,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
1047,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,48072.0,
1048,ADMINISTRATIVE ASST II,AVIATION,F,Salary,,66612.0,
1049,PERSONAL COMPUTER OPERATOR III,PROCUREMENT,F,Salary,,73104.0,
1050,POLICE COMMUNICATIONS OPERATOR II,OEMC,F,Salary,,81156.0,
1051,LIEUTENANT-EMT,FIRE,F,Salary,,117996.0,
1052,PAINTER,STREETS & SAN,F,Hourly,40.0,,46.55
1053,LIEUTENANT-EMT,FIRE,F,Salary,,117996.0,
1054,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1055,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1056,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1057,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
1058,FIRE ENGINEER,FIRE,F,Salary,,100980.0,
1059,ELECTRICAL MECHANIC,WATER MGMNT,F,Hourly,40.0,,48.35
1060,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1061,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1062,STUDENT INTERN,CULTURAL AFFAIRS,F,Hourly,35.0,,13.0
1063,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1064,ACCOUNTING TECHNICIAN I,FINANCE,F,Salary,,73104.0,
1065,ACCOUNTING TECHNICIAN II,FINANCE,F,Salary,,69828.0,
1066,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
1067,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1068,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1069,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1070,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
1071,HEAD LIBRARY CLERK,PUBLIC LIBRARY,F,Salary,,73104.0,
1072,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1073,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1074,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1075,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
1076,CAPTAIN-EMT,FIRE,F,Salary,,136794.0,
1077,LEGISLATIVE AIDE,CITY COUNCIL,F,Salary,,30000.0,
1078,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1079,POLICE ADMINISTRATIVE CLERK,POLICE,F,Salary,,43428.0,
1080,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1081,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1082,LIBRARIAN II,PUBLIC LIBRARY,F,Salary,,88152.0,
1083,WARD SUPERINTENDENT,STREETS & SAN,F,Salary,,82788.0,
1084,STAFF ASST,FIRE,F,Salary,,76584.0,
1085,STATION LABORER,WATER MGMNT,F,Salary,,46608.24,
1086,CLERK III,PUBLIC LIBRARY,F,Salary,,55344.0,
1087,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
1088,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1089,AIRPORT OPERATIONS SUPVSR II,AVIATION,F,Salary,,116244.0,
1090,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1091,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1092,SENIOR PERSONNEL ASSISTANT,PUBLIC LIBRARY,F,Salary,,84024.0,
1093,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1094,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1095,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1096,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1097,COMMUNITY ORGANIZER-CAPS,POLICE,F,Salary,,76584.0,
1098,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1099,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1100,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1101,FIRE ENGINEER-EMT,FIRE,F,Salary,,107106.0,
1102,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1103,CLERK III,HEALTH,F,Salary,,57924.0,
1104,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1105,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1106,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,48072.0,
1107,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1108,SENIOR STOREKEEPER,PUBLIC LIBRARY,F,Salary,,52800.0,
1109,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1110,LIBRARY ASSOCIATE,PUBLIC LIBRARY,F,Salary,,72480.0,
1111,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,22.38
1112,LIEUTENANT,POLICE,F,Salary,,127692.0,
1113,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,25.19
1114,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
1115,BUSINESS CONSULTANT SUPERVISOR,BUSINESS AFFAIRS,F,Salary,,72024.0,
1116,ASSOC CLASSIFICATION & COMP ANALYST,HUMAN RESOURCES,F,Salary,,61236.0,
1117,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
1118,SERGEANT,POLICE,F,Salary,,104628.0,
1119,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
1120,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,13.94
1121,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1122,SERGEANT,POLICE,F,Salary,,107988.0,
1123,CIVIL ENGINEER V,WATER MGMNT,F,Salary,,100620.0,
1124,LIEUTENANT-EMT,FIRE,F,Salary,,114324.0,
1125,CARPENTER,WATER MGMNT,F,Hourly,40.0,,47.35
1126,DEPUTY COMPTROLLER,FINANCE,F,Salary,,124056.0,
1127,DEPUTY COMMISSIONER,HEALTH,F,Salary,,165504.0,
1128,MASON INSPECTOR,WATER MGMNT,F,Salary,,105684.84,
1129,POLICE OFFICER,POLICE,F,Salary,,76266.0,
1130,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1131,ASST GENERAL SUPT OF STREETS AND SANITATION,STREETS & SAN,F,Salary,,110436.0,
1132,AIRPORT FACILITIES MANAGER,AVIATION,F,Salary,,79020.0,
1133,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,55260.0,
1134,ADMINISTRATIVE ASST III,AVIATION,F,Salary,,54828.0,
1135,DIR OF ACCOUNTING,FINANCE,F,Salary,,119412.0,
1136,POLICE OFFICER,POLICE,F,Salary,,76266.0,
1137,TREE TRIMMER,STREETS & SAN,F,Hourly,40.0,,27.2
1138,SERGEANT,POLICE,F,Salary,,101442.0,
1139,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,88296.0,
1140,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1141,FILTRATION ENGINEER II,WATER MGMNT,F,Salary,,87276.0,
1142,DETENTION AIDE,POLICE,F,Salary,,61464.0,
1143,DETENTION AIDE,POLICE,F,Salary,,70644.0,
1144,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,94122.0,
1145,CONCRETE LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
1146,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1147,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,13.94
1148,ASST BENEFITS MANAGER,FINANCE,F,Salary,,99180.0,
1149,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
1150,WATER CHEMIST II,WATER MGMNT,F,Salary,,88152.0,
1151,FOSTER GRANDPARENT,FAMILY & SUPPORT,P,Hourly,20.0,,2.65
1152,FIRE COMMUNICATIONS OPERATOR I,OEMC,F,Salary,,67776.0,
1153,POLICE OFFICER,POLICE,F,Salary,,76266.0,
1154,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,94122.0,
1155,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1156,CROSSING GUARD,OEMC,P,Hourly,20.0,,19.38
1157,SUPVSR OF ACCOUNTING,PLANNING AND DEVELOPMENT,F,Salary,,110400.0,
1158,TRAFFIC CONTROL AIDE,OEMC,F,Salary,,64392.0,
1159,PROCESS SERVER,LAW,F,Salary,,47652.0,
1160,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1161,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1162,ASST CORPORATION COUNSEL I,LAW,F,Salary,,71136.0,
1163,FINANCE OFFICER,HEALTH,F,Salary,,105108.0,
1164,ADMINISTRATIVE ASST III,HEALTH,F,Salary,,88044.0,
1165,ASST MANAGER - BD OF ELECTIONS,BOARD OF ELECTION,F,Salary,,86832.0,
1166,SERGEANT,POLICE,F,Salary,,111474.0,
1167,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1168,POLICE OFFICER,POLICE,F,Salary,,80016.0,
1169,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1170,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1171,MACHINIST (AUTOMOTIVE),FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,48.38
1172,ASST CORPORATION COUNSEL SUPVSR,LAW,F,Salary,,98424.0,
1173,DETENTION AIDE,POLICE,F,Salary,,67464.0,
1174,FIREFIGHTER-EMT,FIRE,F,Salary,,103272.0,
1175,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1176,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1177,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1178,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1179,FIRE COMMUNICATIONS OPERATOR I,OEMC,F,Salary,,71268.0,
1180,STUDENT INTERN,CULTURAL AFFAIRS,F,Hourly,35.0,,13.0
1181,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,14.54
1182,POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,Hourly,10.0,,29.16
1183,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,94122.0,
1184,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1185,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
1186,ARCHITECT IV,BUILDINGS,F,Salary,,114780.0,
1187,SERGEANT,POLICE,F,Salary,,104628.0,
1188,SERGEANT,POLICE,F,Salary,,101442.0,
1189,FOSTER GRANDPARENT,FAMILY & SUPPORT,P,Hourly,20.0,,2.65
1190,ASST CORPORATION COUNSEL SENIOR,LAW,F,Salary,,98424.0,
1191,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,100980.0,
1192,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1193,LIEUTENANT-EMT,FIRE,F,Salary,,121818.0,
1194,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1195,PARAMEDIC I/C,FIRE,F,Salary,,94122.0,
1196,PARAMEDIC I/C,FIRE,F,Salary,,91080.0,
1197,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,25.19
1198,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1199,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1200,LAW CLERK,LAW,F,Hourly,35.0,,14.95
1201,LIEUTENANT-EMT,FIRE,F,Salary,,114324.0,
